state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
GA,2349202.0,1367684.0,17906,153521.0,8971046.0,8971046.0,797424.0,56797,1605061.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,123499113.0,109356053.0,1023485,0,9003953.0,2886992.0,0.0,0.0,103524768.0,0.0,0.0,0,1004320699.0,7359069,88148318.0,24880044.0,0.0,0.0,4981596.0,0,1004320699.0,7359069
GU,18674.0,0.0,133,0.0,0.0,0.0,7552.0,0,0.0,1820.0,16203318.0,112864,0.0,0.0,0.0,0.0,643.0,1117389.0,1091695.0,7746,0,2584.0,26197.0,0.0,0.0,0.0,950216.0,0.0,0,17320707.0,120610,62210.0,692249.0,0.0,0.0,0.0,0,17143752.0,120426
HI,52478.0,52478.0,445,0.0,289663.0,289663.0,23866.0,2226,0.0,5431.0,21062663.0,0,0.0,0.0,27632.0,0.0,3678.0,3863626.0,3466761.0,28699,0,0.0,0.0,0.0,0.0,3756888.0,669730.0,144772120.0,1146796,144772120.0,1146794,0.0,0.0,0.0,0.0,20590627.0,0,26186677.0,0
IA,652451.0,0.0,5558,0.0,1696.0,1696.0,146152.0,0,0.0,35438.0,195115761.0,1044403,0.0,16666941.0,191637075.0,0.0,17728.0,38856604.0,38856279.0,282384,0,0.0,4579906.0,1746913.0,5261184.0,25206520.0,35195542.0,0.0,0,233972365.0,1326787,0.0,93819218.0,18424966.0,25118343.0,233090175.0,1329195,217977586.0,2753899
ID,219713.0,193293.0,1879,23827.0,869327.0,869327.0,64360.0,7184,172991.0,15102.0,84375035.0,505937,0.0,0.0,0.0,0.0,0.0,21044768.0,17745001.0,172931,0,0.0,0.0,0.0,0.0,0.0,9841100.0,0.0,0,102121218.0,645811,0.0,7890937.0,0.0,0.0,102121218.0,645838,115746141.0,1103725
IL,3601219.0,3323967.0,23014,211807.0,0.0,0.0,973480.0,0,0.0,225442.0,0.0,0,0.0,0.0,0.0,0.0,120665.0,155523687.0,38968587.0,1198331,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2292160005.0,18640190,0.0,0.0,0.0,0.0,0.0,0,2292160005.0,18640190
IN,1629501.0,1532804.0,12737,78675.0,5917946.0,5917946.0,478720.0,43217,1094489.0,147632.0,402588049.0,2483156,0.0,0.0,0.0,0.0,62594.0,76263758.0,0.0,667262,0,0.0,0.0,0.0,0.0,80643412.0,0.0,0.0,0,948328432.0,8242366,0.0,0.0,0.0,0.0,475727535.0,3150418,948328432.0,8242367
KS,446973.0,0.0,4812,0.0,1221810.0,1221810.0,115174.0,9387,333866.0,31064.0,150388534.0,974682,0.0,0.0,0.0,85278.0,12058.0,33617591.0,0.0,295861,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,184006125.0,1270543,0.0,13596978.0,0.0,0.0,182923609.0,1270547,94374840.0,2525259
KY,519333.0,487378.0,4819,27733.0,2456586.0,2456586.0,284560.0,19457,619096.0,72826.0,0.0,0,0.0,0.0,0.0,0.0,21703.0,41966662.0,33990959.0,410709,0,622317.0,2109533.0,0.0,0.0,16541301.0,6103867.0,0.0,0,528297269.0,3975665,20399316.0,31923520.0,0.0,0.0,0.0,0,528297269.0,3975672
LA,1765795.0,1667839.0,9748,79489.0,0.0,0.0,390879.0,0,0.0,0.0,734606796.0,5261679,0.0,0.0,0.0,0.0,55926.0,61057115.0,56780050.0,433785,0,0.0,0.0,0.0,0.0,0.0,51491928.0,0.0,0,795663911.0,5695464,0.0,30189631.0,0.0,0.0,0.0,0,785466577.0,5634193
MA,3195657.0,3071210.0,16417,66010.0,4270426.0,4270426.0,443931.0,19713,0.0,93854.0,692889587.0,4404792,0.0,0.0,0.0,0.0,31144.0,71309732.0,68317808.0,591356,0,0.0,0.0,1615605.0,0.0,85009320.0,52357073.0,0.0,0,1841465777.0,16825550,0.0,0.0,32803716.0,57733584.0,752333877.0,4963875,1841465777.0,16825551
MD,1386198.0,1340190.0,7955,46004.0,5735334.0,5735334.0,312666.0,35651,0.0,87702.0,479522983.0,3034529,0.0,30372804.0,0.0,0.0,0.0,52034356.0,52034356.0,387319,0,0.0,0.0,3555124.0,0.0,62577992.0,2209232.0,0.0,0,1000895386.0,8097590,0.0,0.0,33927928.0,0.0,527907963.0,3421865,1000895386.0,8097590
ME,73681.0,71626.0,706,1088.0,207977.0,207977.0,21272.0,1570,0.0,6941.0,0.0,0,2986419.0,0.0,0.0,0.0,2788.0,4064643.0,3401134.0,45794,0,137159.0,592572.0,0.0,0.0,4055423.0,1955791.0,0.0,0,184223107.0,1660180,3118745.0,11534684.0,0.0,0.0,392071.0,0,184223107.0,1660180
MI,2892062.0,2754990.0,16658,142779.0,0.0,0.0,533298.0,0,0.0,147505.0,0.0,0,0.0,0.0,1329204146.0,0.0,91245.0,82832274.0,75889874.0,656058,0,0.0,0.0,0.0,0.0,97764737.0,54809877.0,0.0,0,1426942694.0,10621967,90801201.0,0.0,0.0,0.0,0.0,0,1426942694.0,10621967
MN,931536.0,899916.0,6550,27007.0,3615086.0,3615086.0,188888.0,25978,851418.0,55700.0,473185090.0,3058478,0.0,0.0,767125.0,0.0,0.0,60388446.0,58629415.0,490010,0,0.0,0.0,0.0,0.0,0.0,55529351.0,877825244.0,7111428,877825244.0,7111391,0.0,29994426.0,0.0,0.0,488395254.0,3524061,0.0,0
MO,966302.0,0.0,8161,0.0,0.0,0.0,462745.0,0,0.0,69274.0,332490048.0,1878583,15582630.0,6711286.0,578413525.0,0.0,51317.0,60088249.0,60086750.0,480643,0,1990707.0,6027646.0,277623.0,0.0,66754259.0,0.0,0.0,0,646428217.0,4565843,17604837.0,53340052.0,23132153.0,23994473.0,389853111.0,2359226,646428217.0,4565866
MP,677.0,402.0,2,0.0,968.0,968.0,0.0,4,0.0,0.0,4134177.0,17429,0.0,0.0,0.0,0.0,0.0,24253.0,24253.0,145,0,0.0,0.0,0.0,0.0,0.0,8193.0,0.0,0,4158430.0,17574,0.0,0.0,0.0,0.0,3749364.0,17542,5580628.0,26131
MS,968406.0,786739.0,6808,160947.0,1810439.0,1810439.0,277148.0,9162,0.0,68635.0,220092612.0,1459374,0.0,0.0,0.0,0.0,38561.0,38297901.0,28529628.0,297581,0,0.0,0.0,0.0,0.0,0.0,31547277.0,0.0,0,258390513.0,1756955,11686024.0,58940182.0,0.0,0.0,0.0,0,246988519.0,1642348
MT,139255.0,0.0,1381,0.0,503989.0,503989.0,50892.0,4630,0.0,4350.0,3056.0,-11,0.0,0.0,0.0,0.0,2316.0,11167518.0,3763953.0,100914,0,0.0,0.0,0.0,0.0,0.0,9562093.0,0.0,0,138557348.0,1104477,0.0,0.0,0.0,0.0,0.0,0,138557348.0,1104488
NC,1347142.0,1267867.0,11502,73842.0,0.0,0.0,486042.0,0,0.0,101422.0,0.0,0,0.0,0.0,0.0,0.0,0.0,95648366.0,88223413.0,872175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1190346788.0,9688838,0.0,44821384.0,0.0,0.0,0.0,0,1190346788.0,9688838
ND,181229.0,0.0,1478,0.0,505880.0,505880.0,34975.0,3880,77715.0,4757.0,63254516.0,305912,1572465.0,0.0,0.0,0.0,0.0,13141421.0,12751482.0,100391,0,87939.0,0.0,0.0,0.0,0.0,12099983.0,218286339.0,1425146,218286339.0,1425146,1660404.0,7146476.0,0.0,0.0,76012957.0,406303,229536117.0,1536487
NE,255624.0,0.0,2113,0.0,919992.0,919992.0,96658.0,6237,0.0,162.0,131961390.0,771128,0.0,0.0,262042176.0,0.0,112.0,25447329.0,0.0,203026,0,0.0,0.0,0.0,0.0,29577158.0,16688337.0,0.0,0,292006637.0,2421683,0.0,0.0,0.0,0.0,157508063.0,974759,292006637.0,2421684
NH,171074.0,0.0,1184,0.0,238179.0,238179.0,31831.0,1131,73098.0,0.0,91221991.0,579572,0.0,0.0,0.0,0.0,0.0,6979193.0,4489074.0,76859,0,0.0,0.0,0.0,0.0,0.0,6056419.0,0.0,0,182310545.0,1497179,8988171.0,9856385.0,8572052.0,0.0,95892750.0,633646,182310545.0,1497185
NJ,5352148.0,4746953.0,23574,605194.0,9992229.0,9992229.0,811696.0,64396,0.0,176011.0,1306140068.0,10186941,0.0,0.0,0.0,0.0,123093.0,105084623.0,97893725.0,812609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1411224691.0,10999550,0.0,0.0,0.0,0.0,7588086.0,0,1396145866.0,10902830
